Title,rating,nor,link
Silver Spoon Brampton,3.2,1166,https://www.google.com/maps/place/Silver+Spoon+Brampton/data=!4m6!3m5!1s0x882b15f12c404ea7:0xf365d9a8c393a8cb!8m2!3d43.6987212!4d-79.7450637!16s%2Fg%2F1hc3r2k4j?authuser=0&hl=en&rclk=1
Hakka Khazana Restaurant Mississauga,3.9,1154,https://www.google.com/maps/place/Hakka+Khazana+Restaurant+Mississauga/data=!4m6!3m5!1s0x882b3ff75b6f3a99:0xd888f1a484fbe9a4!8m2!3d43.638132!4d-79.728537!16s%2Fg%2F1hc2x1phm?authuser=0&hl=en&rclk=1
Brampton Authentic Indian Food Ottawa,4.3,1149,https://www.google.com/maps/place/Brampton+Authentic+Indian+Food+Ottawa/data=!4m6!3m5!1s0x4cce0710ca939523:0x3e36d59e1c5969d9!8m2!3d45.342213!4d-75.755574!16s%2Fg%2F11b5qt6q5j?authuser=0&hl=en&rclk=1
Royal Taste Sweets and Restaurant,3.9,1119,https://www.google.com/maps/place/Royal+Taste+Sweets+and+Restaurant/data=!4m6!3m5!1s0x882b13f1547ca7db:0x6685b43dbe02bb14!8m2!3d43.7051831!4d-79.8355831!16s%2Fg%2F11ddyj4y3h?authuser=0&hl=en&rclk=1
Biryani King,3.0,1102,https://www.google.com/maps/place/Biryani+King/data=!4m6!3m5!1s0x882b14330e3eef2b:0x79a9c3a7f3e6bf06!8m2!3d43.7026498!4d-79.7867683!16s%2Fg%2F1tcxq942?authuser=0&hl=en&rclk=1
Indian Punjabi Bazaar Inc,3.8,1059,https://www.google.com/maps/place/Indian+Punjabi+Bazaar+Inc/data=!4m6!3m5!1s0x882b3fe0c3b3d169:0x88be012830b1cb20!8m2!3d43.65059!4d-79.7345213!16s%2Fg%2F1tcz8y_3?authuser=0&hl=en&rclk=1
BB Lounge Restaurant (Hurontario & Eglinton),4.1,1053,https://www.google.com/maps/place/BB+Lounge+Restaurant+(Hurontario+%26+Eglinton)/data=!4m6!3m5!1s0x882b40ca61e98c4f:0xb31d43e7def392a5!8m2!3d43.608556!4d-79.6535239!16s%2Fg%2F1tfvzsgv?authuser=0&hl=en&rclk=1
Punjabi Haveli Dhaba Express,3.8,1031,https://www.google.com/maps/place/Punjabi+Haveli+Dhaba+Express/data=!4m6!3m5!1s0x882b3ff440b09099:0x1496c98093994ce5!8m2!3d43.6631132!4d-79.7300511!16s%2Fg%2F11rg8dkpph?authuser=0&hl=en&rclk=1
Bukhara Grill,4.1,1023,https://www.google.com/maps/place/Bukhara+Grill/data=!4m6!3m5!1s0x882b1583da7b07a5:0x18563b312f6aaf93!8m2!3d43.676095!4d-79.7460688!16s%2Fg%2F11d_wq5zcv?authuser=0&hl=en&rclk=1
Tikka Junction,4.6,976,https://www.google.com/maps/place/Tikka+Junction/data=!4m6!3m5!1s0x882b3f9069c1bf91:0xd24b4407f77b237a!8m2!3d43.7020625!4d-79.7386258!16s%2Fg%2F11p0767ss6?authuser=0&hl=en&rclk=1
